--------- beginning of /dev/log/main
01-07 03:11:40.216 E/wpa_supplicant(  946): CMD: PING
01-07 03:12:34.239 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:34.329 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:34.469 E/WifiService(  203): ===>setWifiEnabled(true)
01-07 03:12:34.469 E/WifiService(  203): setWifiEnabledBlocking(true, true, 1000)
01-07 03:12:34.469 W/CNE     (  203): DhcpInfo obj is NULL. V4 address is not yet available.
01-07 03:12:34.469 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:12:34.469 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:12:34.469 E/WifiService(  203): setWifiEnabledState:1->2
01-07 03:12:34.479 V/DATA    (  288): [DCT(0) ] intent received :android.net.wifi.WIFI_STATE_CHANGED
01-07 03:12:34.489 E/WifiService(  203): loadDriver(256)
01-07 03:12:34.489 E/WifiEnabler(  712): handleWifiStateChanged(): (2)
01-07 03:12:34.509 D/SettingsAppWidgetProvider(  712): STATE_MAX_LIGHT0
01-07 03:12:34.549 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.549 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.549 E/WifiHW  (  203): Loaded /system/lib/modules/compat.ko
01-07 03:12:34.980 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.980 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.980 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.980 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.980 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.980 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.980 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.980 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:34.990 E/WifiHW  (  203): Loaded /system/lib/modules/cfg80211.ko
01-07 03:12:35.360 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.360 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.861 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.861 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.861 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.861 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.861 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.861 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.961 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.961 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.961 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.961 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.961 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.971 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.971 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.971 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.981 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.981 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.981 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.981 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.991 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.991 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.991 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:35.991 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:36.241 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:36.241 I/dun_service(  123): process rmnet event
01-07 03:12:36.241 I/dun_service(  123): Post event 3
01-07 03:12:36.241 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:36.241 I/dun_service(  115): process rmnet event
01-07 03:12:36.241 I/dun_service(  115): Post event 3
01-07 03:12:36.241 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:36.241 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:36.241 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:36.241 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:12:36.241 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:36.241 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:36.241 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:36.241 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:12:36.241 D/NetdConnector(  203): RCV <- {600 Iface added wlan0}
01-07 03:12:36.251 D/Tethering(  203): isWifiDirect(): wlan0
01-07 03:12:36.251 D/Tethering(  203): isWifiDirect(): p2p-wlan\d-\d+ wlan0
01-07 03:12:36.251 D/Tethering(  203): wlan0 is not a tetherable iface, ignoring
01-07 03:12:36.251 E/WifiHW  (  203): Loaded /system/lib/modules/bcm4330.ko fwb1_path=/etc/firmware/b1.bin fwb2_path=/etc/firmware/b2.bin nvram_path=/etc/firmware/nvram.txt iface_name=wlan
01-07 03:12:37.282 E/WifiHW  (  203): wifi_start_supplicant: isCFG80211=1 type =0
01-07 03:12:37.282 E/WifiService(  203): startSupplicant(0)
01-07 03:12:37.302 D/wpa_supplicant(  967): wpa_supplicant v0.8.x07
01-07 03:12:37.302 D/wpa_supplicant(  967): random: Trying to read entropy from /dev/random
01-07 03:12:37.302 D/wpa_supplicant(  967): Initializing interface 'wlan0' conf '/data/misc/wifi/wpa_supplicant.conf' driver 'nl80211' ctrl_interface 'N/A' bridge 'N/A'
01-07 03:12:37.302 D/wpa_supplicant(  967): Configuration file '/data/misc/wifi/wpa_supplicant.conf' -> '/data/misc/wifi/wpa_supplicant.conf'
01-07 03:12:37.302 D/wpa_supplicant(  967): Reading configuration file '/data/misc/wifi/wpa_supplicant.conf'
01-07 03:12:37.302 D/wpa_supplicant(  967): update_config=1
01-07 03:12:37.302 D/wpa_supplicant(  967): ctrl_interface='/data/misc/wifi/wpa_supplicant'
01-07 03:12:37.302 D/wpa_supplicant(  967): device_name='brcm-p2p-324'
01-07 03:12:37.302 D/wpa_supplicant(  967): eapol_version=1
01-07 03:12:37.302 D/wpa_supplicant(  967): ap_scan=1
01-07 03:12:37.302 D/wpa_supplicant(  967): fast_reauth=1
01-07 03:12:37.302 D/wpa_supplicant(  967): nl80211: interface wlan0 in phy phy0
01-07 03:12:37.302 I/wpa_supplicant(  967): rfkill: Cannot open RFKILL control device
01-07 03:12:37.302 D/wpa_supplicant(  967): nl80211: RFKILL status not available
01-07 03:12:37.302 E/wpa_supplicant(  967): nl80211: wpa_driver_nl80211_check_iface iface is down, change it to up
01-07 03:12:37.322 I/dun_service(  123): process rmnet event
01-07 03:12:37.322 I/dun_service(  115): process rmnet event
01-07 03:12:37.322 D/wpa_supplicant(  967): netlink: Operstate: linkmode=1, operstate=5
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: Using driver-based off-channel TX
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: driver param='use_p2p_group_interface=1'
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: Use separate P2P group interface
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:12:37.322 D/wpa_supplicant(  967): [terry trace] wpa_supplicant_driver_init : wpa_s->driver->send_eapol 
01-07 03:12:37.322 D/wpa_supplicant(  967): wpa_s->l2_wapi = 0xae550 
01-07 03:12:37.322 D/wpa_supplicant(  967): [terry trace]wpa_s->l2_wapi = 0xae550 
01-07 03:12:37.322 D/wpa_supplicant(  967): [terry trace] wpa_supplicant_driver_init 
01-07 03:12:37.322 D/wpa_supplicant(  967): Own WAPI MAC address: 00:09:23:20:11:aa
01-07 03:12:37.322 D/wpa_supplicant(  967): wpa_driver_nl80211_set_key: ifindex=23 alg=0 addr=0x0 key_idx=0 set_tx=0 seq_len=0 key_len=0
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:12:37.322 D/wpa_supplicant(  967): wpa_driver_nl80211_set_key: ifindex=23 alg=0 addr=0x0 key_idx=1 set_tx=0 seq_len=0 key_len=0
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:12:37.322 D/wpa_supplicant(  967): wpa_driver_nl80211_set_key: ifindex=23 alg=0 addr=0x0 key_idx=2 set_tx=0 seq_len=0 key_len=0
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:12:37.322 D/wpa_supplicant(  967): wpa_driver_nl80211_set_key: ifindex=23 alg=0 addr=0x0 key_idx=3 set_tx=0 seq_len=0 key_len=0
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:12:37.322 D/wpa_supplicant(  967): nl80211: Flush PMKIDs
01-07 03:12:37.322 I/dun_service(  123): Post event 3
01-07 03:12:37.322 I/dun_service(  123): process rmnet event
01-07 03:12:37.322 I/dun_service(  123): Post event 3
01-07 03:12:37.322 I/dun_service(  115): Post event 3
01-07 03:12:37.322 I/dun_service(  115): process rmnet event
01-07 03:12:37.322 I/dun_service(  115): Post event 3
01-07 03:12:37.322 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:37.322 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:37.322 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:37.322 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:12:37.322 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:37.322 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:37.322 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:37.322 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:12:37.322 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:37.322 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:37.322 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:37.322 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:12:37.322 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:37.322 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
